"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 23 14:16:59 GMT 2023","Wed Aug 23 14:17:00 GMT 2023","661","chromium","","","","","get started link",""
"passed","Wed Aug 23 14:17:00 GMT 2023","Wed Aug 23 14:17:03 GMT 2023","3253","firefox","","","","","has title",""
"passed","Wed Aug 23 14:17:06 GMT 2023","Wed Aug 23 14:17:09 GMT 2023","3292","webkit","","","","","has title",""
"passed","Wed Aug 23 14:16:58 GMT 2023","Wed Aug 23 14:16:59 GMT 2023","1052","chromium","","","","","has title",""
"passed","Wed Aug 23 14:17:09 GMT 2023","Wed Aug 23 14:17:11 GMT 2023","2164","webkit","","","","","get started link",""
"passed","Wed Aug 23 14:17:03 GMT 2023","Wed Aug 23 14:17:05 GMT 2023","1269","firefox","","","","","get started link",""
