"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 23 14:59:57 GMT 2023","Wed Aug 23 14:59:58 GMT 2023","820","chromium","","","","","has title",""
"passed","Wed Aug 23 14:59:59 GMT 2023","Wed Aug 23 15:00:01 GMT 2023","2256","firefox","","","","","has title",""
"passed","Wed Aug 23 14:59:58 GMT 2023","Wed Aug 23 14:59:59 GMT 2023","563","chromium","","","","","get started link",""
"passed","Wed Aug 23 15:00:06 GMT 2023","Wed Aug 23 15:00:08 GMT 2023","1258","webkit","","","","","get started link",""
"passed","Wed Aug 23 15:00:04 GMT 2023","Wed Aug 23 15:00:06 GMT 2023","2722","webkit","","","","","has title",""
"passed","Wed Aug 23 15:00:01 GMT 2023","Wed Aug 23 15:00:03 GMT 2023","1100","firefox","","","","","get started link",""
