"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 23 14:57:27 GMT 2023","Wed Aug 23 14:57:28 GMT 2023","1497","webkit","","","","","get started link",""
"passed","Wed Aug 23 14:57:17 GMT 2023","Wed Aug 23 14:57:18 GMT 2023","654","chromium","","","","","get started link",""
"passed","Wed Aug 23 14:57:15 GMT 2023","Wed Aug 23 14:57:17 GMT 2023","2018","chromium","","","","","has title",""
"passed","Wed Aug 23 14:57:23 GMT 2023","Wed Aug 23 14:57:27 GMT 2023","3208","webkit","","","","","has title",""
"passed","Wed Aug 23 14:57:21 GMT 2023","Wed Aug 23 14:57:22 GMT 2023","1336","firefox","","","","","get started link",""
"passed","Wed Aug 23 14:57:18 GMT 2023","Wed Aug 23 14:57:21 GMT 2023","2857","firefox","","","","","has title",""
