"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 23 14:02:16 GMT 2023","Wed Aug 23 14:02:17 GMT 2023","1715","chromium","","","","","has title",""
"passed","Wed Aug 23 14:02:29 GMT 2023","Wed Aug 23 14:02:31 GMT 2023","1321","webkit","","","","","get started link",""
"passed","Wed Aug 23 14:02:19 GMT 2023","Wed Aug 23 14:02:22 GMT 2023","3089","firefox","","","","","has title",""
"passed","Wed Aug 23 14:02:17 GMT 2023","Wed Aug 23 14:02:18 GMT 2023","693","chromium","","","","","get started link",""
"passed","Wed Aug 23 14:02:22 GMT 2023","Wed Aug 23 14:02:23 GMT 2023","1156","firefox","","","","","get started link",""
"passed","Wed Aug 23 14:02:24 GMT 2023","Wed Aug 23 14:02:29 GMT 2023","5626","webkit","","","","","has title",""
