"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 23 16:15:48 GMT 2023","Wed Aug 23 16:15:51 GMT 2023","3452","webkit","","","","","has title",""
"passed","Wed Aug 23 16:15:42 GMT 2023","Wed Aug 23 16:15:43 GMT 2023","654","chromium","","","","","get started link",""
"passed","Wed Aug 23 16:15:46 GMT 2023","Wed Aug 23 16:15:47 GMT 2023","1190","firefox","","","","","get started link",""
"passed","Wed Aug 23 16:15:51 GMT 2023","Wed Aug 23 16:15:54 GMT 2023","2299","webkit","","","","","get started link",""
"passed","Wed Aug 23 16:15:41 GMT 2023","Wed Aug 23 16:15:42 GMT 2023","937","chromium","","","","","has title",""
"passed","Wed Aug 23 16:15:43 GMT 2023","Wed Aug 23 16:15:46 GMT 2023","2515","firefox","","","","","has title",""
