"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 23 14:40:28 GMT 2023","Wed Aug 23 14:40:29 GMT 2023","1281","firefox","","","","","get started link",""
"passed","Wed Aug 23 14:40:22 GMT 2023","Wed Aug 23 14:40:23 GMT 2023","1072","chromium","","","","","has title",""
"passed","Wed Aug 23 14:40:24 GMT 2023","Wed Aug 23 14:40:28 GMT 2023","3529","firefox","","","","","has title",""
"passed","Wed Aug 23 14:40:34 GMT 2023","Wed Aug 23 14:40:37 GMT 2023","2902","webkit","","","","","get started link",""
"passed","Wed Aug 23 14:40:23 GMT 2023","Wed Aug 23 14:40:24 GMT 2023","762","chromium","","","","","get started link",""
"passed","Wed Aug 23 14:40:30 GMT 2023","Wed Aug 23 14:40:34 GMT 2023","3568","webkit","","","","","has title",""
