"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 23 14:34:08 GMT 2023","Wed Aug 23 14:34:09 GMT 2023","723","chromium","","","","","get started link",""
"passed","Wed Aug 23 14:34:09 GMT 2023","Wed Aug 23 14:34:12 GMT 2023","2679","firefox","","","","","has title",""
"passed","Wed Aug 23 14:34:20 GMT 2023","Wed Aug 23 14:34:21 GMT 2023","1489","webkit","","","","","get started link",""
"passed","Wed Aug 23 14:34:15 GMT 2023","Wed Aug 23 14:34:20 GMT 2023","5026","webkit","","","","","has title",""
"passed","Wed Aug 23 14:34:12 GMT 2023","Wed Aug 23 14:34:13 GMT 2023","1279","firefox","","","","","get started link",""
"passed","Wed Aug 23 14:34:07 GMT 2023","Wed Aug 23 14:34:08 GMT 2023","989","chromium","","","","","has title",""
